币种,最小下单量
HIGHBUSD,0.00100000
HIGH-USDT,0.00100000
CVXBUSD,0.00100000
CVX-USDT,0.00100000
PEOPLEBUSD,0.10000000
PEOPLE-USDT,0.10000000
OOKIBUSD,1.00000000
OOKI-USDT,1.00000000
MDTBUSD,0.10000000
NULSBUSD,1.00000000
SPELL-USDT,1.00000000
SPELLBUSD,1.00000000
USTBUSD,1.00000000
UST-USDT,1.00000000
JOEBUSD,0.01000000
JOE-USDT,0.01000000
DUSKBUSD,1.00000000
ACHBUSD,1.00000000
ACH-USDT,1.00000000
IMXBUSD,0.01000000
IMX-USDT,0.01000000
GLMRBUSD,0.10000000
GLMR-USDT,0.10000000
UMABUSD,0.10000000
LOKABUSD,0.10000000
LOKA-USDT,0.10000000
SCRT-USDT,0.10000000
API3BUSD,0.01000000
API3-USDT,0.01000000
BTTC-USDT,1.0
ACABUSD,0.01000000
ACA-USDT,0.01000000
ANCBUSD,0.01000000
ANC-USDT,0.01000000
XNOBUSD,0.01000000
XNO-USDT,0.01000000
WOOBUSD,0.10000000
WOO-USDT,0.10000000
TFUELBUSD,1.00000000
ALPINE-USDT,0.01000000
T-USDT,0.10000000
TBUSD,0.10000000
ASTRBUSD,0.10000000
ASTR-USDT,0.10000000
GMTBUSD,0.10000000
GMT-USDT,0.10000000
KDABUSD,0.01000000
KDA-USDT,0.01000000
APE-USDT,0.01000000
APEBUSD,0.01000000
ALPINEBUSD,0.01000000
BSW-USDT,0.10000000
BSWBUSD,0.10000000
SANTOSBUSD,0.01000000
BIFI-USDT,0.00100000
MULTIBUSD,0.00100000
MULTI-USDT,0.00100000
PORTOBUSD,0.01000000
STEEM-USDT,0.10000000
BTTCBUSD,1.0
MBLBUSD,1.00000000
MOB-USDT,0.01000000
MOBBUSD,0.01000000
NEXO-USDT,0.01000000
NEXOBUSD,0.01000000
REI-USDT,0.10000000
GAL-USDT,0.00100000
GALBUSD,0.00100000
LDOBUSD,0.01000000
LDO-USDT,0.01000000
EPX-USDT,1.00000000
EPXBUSD,1.00000000
STEEMBUSD,0.10000000
CVCBUSD,1.00000000
REIBUSD,0.10000000
DREPBUSD,1.00000000
AKROBUSD,1.00000000
PUNDIXBUSD,0.10000000
LUNCBUSD,0.01000000
USTCBUSD,1.00000000
OPBUSD,0.01000000
OP-USDT,0.01000000
OGBUSD,0.10000000
KEYBUSD,1.00000000
ASRBUSD,0.10000000
FIROBUSD,0.10000000
NKNBUSD,1.00000000
GTOBUSD,1.00000000
WBTCBUSD,0.00001000
